,N Control(raw),Mean Control(raw),N Case(raw),Mean Case(raw),cohen's d(raw),Fold change(raw),p-value(raw),fdr(raw),N Control(PSM),Mean Control(PSM),N Case(PSM),Mean Case(PSM),cohen's d(PSM),Fold change(PSM),p-value(PSM),fdr(PSM)
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium|s__Cutibacterium_acnes,16,0.113863125,16,0.0065137500000000004,0.44928610383704826,0.05720684374331023,0.04605367139129862,0.2577045867215221,21,0.03495142857142857,21,0.003892380952380952,0.4694357076971076,0.11136543230060764,0.0021612766837255486,0.024713729035644318
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_parasanguinis,16,2.2244156250000002,16,6.85378625,0.7693709098249201,3.0811626087188624,0.04777167295333522,0.26174895805681586,21,1.7167228571428572,21,8.111082857142858,1.001888311931821,4.724747983283765,0.0033744011301659973,0.03557507340167933
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Dialister|s__Dialister_invisus,16,0.0089725,16,0.018125,0.23607155232132984,2.020061298411814,0.6178069325509029,0.8098432828758919,21,0.03961285714285715,21,0.004412380952380952,1.0161145593464596,0.1113875966196641,0.003381660969741381,0.03557507340167933
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium_parvum,16,0.179919375,16,0.02084875,0.9976670138316307,0.11587829270749746,0.0008463935970943088,0.04825210274891189,21,0.052406190476190474,21,0.015884761904761905,0.42395523040735267,0.3031085022670895,0.003763533123168709,0.038069585053591176
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Rothia|s__Rothia_aeria,16,0.03476375,16,0.003071875,0.6735872579526779,0.08836431627773182,0.005150814219532189,0.09676172426692614,21,0.02367095238095238,21,0.0,0.5845100354764947,0.0,0.004629728628417619,0.0394457648688368
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_nigrescens,16,0.31182875,16,0.17806562499999998,0.22406880795753412,0.571036586587991,0.3866917304601797,0.5810620609956462,21,0.6347519047619047,21,0.1616395238095238,0.7332188275652004,0.25464992321709495,0.0045932217397553765,0.0394457648688368
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pseudopneumoniae,16,0.233186875,16,0.052874375,0.47954596456444637,0.2267467883859244,0.25361326048661725,0.5423424523619249,21,0.2612971428571428,21,0.04116904761904762,0.9684316480573697,0.15755644003178287,0.00447644079251666,0.0394457648688368
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis|g__Clostridiales_Family_XIII_Incertae_Sedis_unclassified|s__Eubacterium_saphenum,16,0.001605625,16,0.04097,0.5198013296896724,25.516543402101984,0.3059727591313277,0.5423424523619249,21,0.0,21,0.0669038095238095,0.752369827425726,inf,0.004649500802030193,0.0394457648688368
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Alloprevotella|s__Prevotella_sp_oral_taxon_473,16,0.07241375,16,0.0,0.6264810505969935,0.0,0.0016512126415977452,0.04825210274891189,21,0.040241428571428574,21,0.0,0.9147164307364687,0.0,0.004629728628417619,0.0394457648688368
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae|g__Campylobacter|s__Campylobacter_rectus,16,0.04846,16,0.07383875000000001,0.14621851902124514,1.5237051176227818,0.9668496687341044,1.0,21,0.17032095238095235,21,0.02581238095238095,1.250751071071912,0.15155141273897463,0.005218364981861269,0.04288843719467231
