	Disease	Type	Train	Test	NTree	NSample	Min_paired	AUC
196	schizofrenia	self	9	9	301	11	0.5	0.8095238095238095
197	schizofrenia	self	100	100	301	11	0.5	0.7083333333333334
198	schizofrenia	s2s	9	100	301	11	0.5	0.5561042524005486
199	schizofrenia	s2s	100	9	301	11	0.5	0.513671875
200	schizofrenia	self	9	9	301	11	0.6	0.7380952380952379
201	schizofrenia	self	100	100	301	11	0.6	0.6877104377104377
202	schizofrenia	s2s	9	100	301	11	0.6	0.5080932784636488
203	schizofrenia	s2s	100	9	301	11	0.6	0.62890625
204	schizofrenia	self	9	9	301	11	0.7	0.5714285714285714
205	schizofrenia	self	100	100	301	11	0.7	0.7125420875420875
206	schizofrenia	s2s	9	100	301	11	0.7	0.5191358024691357
207	schizofrenia	s2s	100	9	301	11	0.7	0.609375
208	schizofrenia	self	9	9	301	11	0.8	0.4285714285714286
209	schizofrenia	self	100	100	301	11	0.8	0.7091750841750841
210	schizofrenia	s2s	9	100	301	11	0.8	0.4838820301783266
211	schizofrenia	s2s	100	9	301	11	0.8	0.5859375
212	schizofrenia	self	9	9	301	11	0.9	0.3928571428571429
213	schizofrenia	self	100	100	301	11	0.9	0.7041245791245792
214	schizofrenia	s2s	9	100	301	11	0.9	0.5296296296296297
215	schizofrenia	s2s	100	9	301	11	0.9	0.6796875
216	schizofrenia	self	9	9	301	11	1.0	0.21428571428571427
217	schizofrenia	self	100	100	301	11	1.0	0.6843434343434344
218	schizofrenia	s2s	09	100	301	11	1.0	0.4962962962962963
219	schizofrenia	s2s	100	09	301	11	1.0	0.568359375
