	Disease	Type	Train	Test	NTree	NSample	Min_paired	AUC
195	IGT	s2s	40_1	37_1	301	11	0.4	0.36515372021102416
196	IGT	self	37_1	37_1	301	11	0.5	0.9288194444444444
197	IGT	self	40_1	40_1	301	11	0.5	0.6132352941176471
198	IGT	s2s	37_1	40_1	301	11	0.5	0.3718557190317988
199	IGT	s2s	40_1	37_1	301	11	0.5	0.4401036929234128
200	IGT	self	37_1	37_1	301	11	0.6	0.9875578703703703
201	IGT	self	40_1	40_1	301	11	0.6	0.5985294117647059
202	IGT	s2s	37_1	40_1	301	11	0.6	0.3960607498813479
203	IGT	s2s	40_1	37_1	301	11	0.6	0.5015462979807167
204	IGT	self	37_1	37_1	301	11	0.7	0.9898726851851852
205	IGT	self	40_1	40_1	301	11	0.7	0.5970588235294118
206	IGT	s2s	37_1	40_1	301	11	0.7	0.473421926910299
207	IGT	s2s	40_1	37_1	301	11	0.7	0.4825359286883754
208	IGT	self	37_1	37_1	301	11	0.8	0.941550925925926
209	IGT	self	40_1	40_1	301	11	0.8	0.6220588235294118
210	IGT	s2s	37_1	40_1	301	11	0.8	0.4511153298528714
211	IGT	s2s	40_1	37_1	301	11	0.8	0.5057758777515009
212	IGT	self	37_1	37_1	301	11	0.9	0.9765625
213	IGT	self	40_1	40_1	301	11	0.9	0.5970588235294118
214	IGT	s2s	37_1	40_1	301	11	0.9	0.4155196962505933
215	IGT	s2s	40_1	37_1	301	11	0.9	0.4858559214116791
216	IGT	self	37_1	37_1	301	11	1.0	0.984085648148148
217	IGT	self	40_1	40_1	301	11	1.0	0.5764705882352941
218	IGT	s2s	37_1	40_1	301	11	1.0	0.4693877551020408
219	IGT	s2s	40_1	37_1	301	11	1.0	0.5083682008368201
