	V1
S2_012_023G1	NA_character_
S2_012_024G1	NA_character_
S2_012_025G1	NA_character_
S2_012_026G1	NA_character_
S2_012_027G1	NA_character_
S2_014_007G1	NA_character_
S2_014_009G1	NA_character_
S2_014_010G1	NA_character_
S2_014_011G1	S2_CON_002E2
S2_014_013G1	NA_character_
S2_014_015G1	NA_character_
S2_014_016G1	NA_character_
S2_014_017G1	NA_character_
S2_014_018G1	NA_character_
S2_014_019G1	NA_character_
S2_014_020G1	NA_character_
S2_014_021G1	NA_character_
S2_014_023G1	NA_character_
S2_014_024G1	NA_character_
S2_014_025G1	NA_character_
S2_014_026G1	NA_character_
S2_014_028G1	NA_character_
S2_015_005G1	NA_character_
S2_015_006G1	NA_character_
S2_015_009G1	NA_character_
S2_015_010G1	NA_character_
S2_015_011G1	NA_character_
S2_015_012G1	S2_CON_000E1
S2_015_013G1	S2_CON_002E1
S2_016_007G1	S2_CON_002E1
S2_016_008G1	S2_CON_002E1
S2_016_009G1	S2_CON_002E1
S2_016_010G1	S2_CON_002E2
S2_016_011G1	S2_CON_002E2
S2_016_013G1	S2_CON_002E2
S2_016_014G1	S2_CON_000E1
S2_016_015G1	S2_CON_002E2
S2_016_016G1	S2_CON_002E1
S2_016_017G1	S2_CON_002E2
S2_016_018G1	S2_CON_002E1
S2_016_019G1	S2_CON_002E2
S2_016_021G1	S2_CON_000E1
S2_016_023G1	S2_CON_002E1
S2_016_024G1	S2_CON_002E1
S2_016_025G1	S2_CON_002E1
S2_016_026G1	S2_CON_000E1
S2_016_027G1	S2_CON_002E1
S2_016_028G1	S2_CON_002E1
S2_017_006G1	S2_CON_002E2
S2_017_007G1	S2_CON_002E2
S2_017_008G1	S2_CON_002E2
S2_017_009G1	S2_CON_002E1
S2_017_010G1	S2_CON_002E2
S2_017_011G1	S2_CON_002E2
S2_017_012G1	S2_CON_002E2
S2_017_013G1	S2_CON_002E1
S2_017_014G1	S2_CON_002E2
S2_017_015G1	S2_CON_002E1
S2_017_017G1	S2_CON_002E2
S2_017_018G1	S2_CON_000E1
S2_017_019G1	S2_CON_002E1
S2_017_020G1	S2_CON_002E2
S2_017_021G1	S2_CON_002E1
S2_017_022G1	S2_CON_002E1
S2_017_023G1	S2_CON_002E2
S2_017_024G1	S2_CON_000E1
S2_017_025G1	S2_CON_002E2
S2_017_026G1	S2_CON_000E1
S2_017_027G1	S2_CON_002E2
S2_017_028G1	S2_CON_002E1
S2_018_006G1	S2_CON_002E2
S2_018_007G1	NA_character_
S2_018_008G1	S2_CON_002E2
S2_018_009G1	S2_CON_002E2
S2_018_010G1	S2_CON_002E2
S2_018_011G1	S2_CON_002E2
S2_018_012G1	S2_CON_002E2
S2_018_013G1	S2_CON_002E2
S2_018_014G1	S2_CON_002E2
S2_018_015G1	S2_CON_002E2
S2_018_016G1	S2_CON_002E2
S2_018_017G1	S2_CON_002E2
S2_018_018G1	S2_CON_002E2
S2_018_019G1	S2_CON_002E2
S2_018_020G1	S2_CON_002E2
S2_018_021G1	S2_CON_002E2
S2_018_022G1	S2_CON_002E2
S2_018_023G1	S2_CON_002E2
